
==================== Fold 1/5 ====================


=============== Starting training fold 1 (Corrected Version) ===============
🔧 Image segmentation: Correct 2-row 5-column layout, each expert processes 128x128 region
🤖 Optimizer: AdamW (amsgrad=True), aggressive learning rate: 0.0003
📊 Loss function: Combined loss (Focal+LabelSmooth, gamma=1.5)
📈 Learning rate schedule: Super scheduler (Multi-Warmup + Cosine + Restart)
🎯 Validation metrics: AUC + ACC + Precision + Recall + F1
🏗️  Model architecture: Ultimate multi-expert network + attention + residual
🎨 Visualization analysis: Correct 2-row 5-column heatmap generation + feature importance analysis
Fold 1 | Epoch   1 | Loss: 0.3298 | AUC: 0.6462 | Acc: 0.6719 | Prec: 0.7019 | Rec: 0.6719 | F1: 0.6841 | LR: 0.000048 | Time: 7.0s -> 🎯 NEW RECORD!
Fold 1 | Epoch   2 | Loss: 0.3054 | AUC: 0.7278 | Acc: 0.6875 | Prec: 0.7479 | Rec: 0.6875 | F1: 0.7060 | LR: 0.000096 | Time: 6.9s -> 🎯 NEW RECORD!
Fold 1 | Epoch   3 | Loss: 0.2856 | AUC: 0.7416 | Acc: 0.7292 | Prec: 0.7671 | Rec: 0.7292 | F1: 0.7420 | LR: 0.000144 | Time: 6.8s -> 🎯 NEW RECORD!
Fold 1 | Epoch   4 | Loss: 0.2578 | AUC: 0.7309 | Acc: 0.7448 | Prec: 0.7705 | Rec: 0.7448 | F1: 0.7543 | LR: 0.000192 | Time: 6.8s
Fold 1 | Epoch   5 | Loss: 0.2472 | AUC: 0.7354 | Acc: 0.6979 | Prec: 0.7427 | Rec: 0.6979 | F1: 0.7132 | LR: 0.000240 | Time: 7.3s
Fold 1 | Epoch   6 | Loss: 0.2389 | AUC: 0.7354 | Acc: 0.7135 | Prec: 0.7456 | Rec: 0.7135 | F1: 0.7254 | LR: 0.000240 | Time: 6.9s
Fold 1 | Epoch   7 | Loss: 0.2456 | AUC: 0.7482 | Acc: 0.7188 | Prec: 0.7528 | Rec: 0.7188 | F1: 0.7310 | LR: 0.000252 | Time: 6.5s -> 🎯 NEW RECORD!
Fold 1 | Epoch   8 | Loss: 0.2253 | AUC: 0.7357 | Acc: 0.7344 | Prec: 0.7607 | Rec: 0.7344 | F1: 0.7443 | LR: 0.000264 | Time: 6.6s
Fold 1 | Epoch   9 | Loss: 0.2181 | AUC: 0.7303 | Acc: 0.7083 | Prec: 0.7340 | Rec: 0.7083 | F1: 0.7185 | LR: 0.000276 | Time: 6.4s
Fold 1 | Epoch  10 | Loss: 0.2260 | AUC: 0.7288 | Acc: 0.7240 | Prec: 0.7554 | Rec: 0.7240 | F1: 0.7354 | LR: 0.000288 | Time: 6.6s
Fold 1 | Epoch  11 | Loss: 0.2128 | AUC: 0.7328 | Acc: 0.6979 | Prec: 0.7427 | Rec: 0.6979 | F1: 0.7132 | LR: 0.000300 | Time: 6.5s
Fold 1 | Epoch  12 | Loss: 0.1941 | AUC: 0.7321 | Acc: 0.7083 | Prec: 0.7385 | Rec: 0.7083 | F1: 0.7198 | LR: 0.000300 | Time: 6.5s
Fold 1 | Epoch  13 | Loss: 0.2041 | AUC: 0.7147 | Acc: 0.6979 | Prec: 0.7287 | Rec: 0.6979 | F1: 0.7098 | LR: 0.000298 | Time: 6.7s
Fold 1 | Epoch  14 | Loss: 0.1897 | AUC: 0.7363 | Acc: 0.7396 | Prec: 0.7593 | Rec: 0.7396 | F1: 0.7475 | LR: 0.000296 | Time: 6.5s
Fold 1 | Epoch  15 | Loss: 0.1707 | AUC: 0.7420 | Acc: 0.7031 | Prec: 0.7405 | Rec: 0.7031 | F1: 0.7166 | LR: 0.000293 | Time: 6.4s
Fold 1 | Epoch  16 | Loss: 0.1753 | AUC: 0.7456 | Acc: 0.7240 | Prec: 0.7466 | Rec: 0.7240 | F1: 0.7330 | LR: 0.000289 | Time: 6.2s
Fold 1 | Epoch  17 | Loss: 0.1693 | AUC: 0.7388 | Acc: 0.7240 | Prec: 0.7509 | Rec: 0.7240 | F1: 0.7342 | LR: 0.000284 | Time: 6.6s
Fold 1 | Epoch  18 | Loss: 0.1710 | AUC: 0.7495 | Acc: 0.6979 | Prec: 0.7333 | Rec: 0.6979 | F1: 0.7111 | LR: 0.000278 | Time: 6.2s -> 🎯 NEW RECORD!
Fold 1 | Epoch  19 | Loss: 0.1689 | AUC: 0.7542 | Acc: 0.7500 | Prec: 0.7651 | Rec: 0.7500 | F1: 0.7563 | LR: 0.000271 | Time: 6.6s -> 🎯 NEW RECORD!
Fold 1 | Epoch  20 | Loss: 0.1366 | AUC: 0.7651 | Acc: 0.7031 | Prec: 0.7405 | Rec: 0.7031 | F1: 0.7166 | LR: 0.000264 | Time: 6.9s -> 🎯 NEW RECORD!
Fold 1 | Epoch  21 | Loss: 0.1398 | AUC: 0.7365 | Acc: 0.7240 | Prec: 0.7423 | Rec: 0.7240 | F1: 0.7316 | LR: 0.000256 | Time: 6.9s
Fold 1 | Epoch  22 | Loss: 0.1567 | AUC: 0.7481 | Acc: 0.7292 | Prec: 0.7494 | Rec: 0.7292 | F1: 0.7374 | LR: 0.000248 | Time: 6.8s
Fold 1 | Epoch  23 | Loss: 0.1407 | AUC: 0.7500 | Acc: 0.7500 | Prec: 0.7651 | Rec: 0.7500 | F1: 0.7563 | LR: 0.000238 | Time: 7.0s
Fold 1 | Epoch  24 | Loss: 0.1462 | AUC: 0.7190 | Acc: 0.7448 | Prec: 0.7542 | Rec: 0.7448 | F1: 0.7490 | LR: 0.000228 | Time: 6.4s
Fold 1 | Epoch  25 | Loss: 0.1358 | AUC: 0.7387 | Acc: 0.7396 | Prec: 0.7511 | Rec: 0.7396 | F1: 0.7446 | LR: 0.000218 | Time: 6.5s
